Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Source,IUPAC_name
CC=C(C)C(CCC(C)CCCC(C)CCCC(C)C)OC1C(CO)OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(OC)c(OC)c4)oc3c2)C(O)C1O,CC=C(C)C(CCC(C)CCCC(C)CCCC(C)C)OC1C(CO)OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(OC)c(OC)c4)oc3c2)C(O)C1O,sweet,flavor_db,"7-[3,4-dihydroxy-6-(hydroxymethyl)-5-(3,7,11,15-tetramethylhexadec-2-en-4-yloxy)oxan-2-yl]oxy-2-(3,4-dimethoxyphenyl)-3,5-dihydroxychromen-4-one"
OC1COC(O)(C(O)F)C(O)C1O,OC1COC(O)(C(O)F)C(O)C1O,sweet,flavor_db,"2-[fluoro(hydroxy)methyl]oxane-2,3,4,5-tetrol"
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(C)C(O)C(O)C2OC2OCC(O)C(O)C2O)ccc1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(C)C(O)C(O)C2OC2OCC(O)C(O)C2O)ccc1O,sweet,flavor_db,"3-[4,5-dihydroxy-6-methyl-3-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one"
CC1(C)CCC2(COC3OC(CO)C(O)C(O)C3O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C)CCC2(COC3OC(CO)C(O)C(O)C3O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,flavor_db,"3,5-dihydroxy-6-[[8-hydroxy-4,4,6a,6b,11,11,14b-heptamethyl-8a-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid"
OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,sweet,chemtastes_db,"2-(4,5,6-trihydroxyoxan-3-yl)oxyoxane-3,4,5-triol"
OCC(O)CC(O)CC(O)CO,OCC(O)CC(O)CC(O)CO,sweet,flavor_db,"heptane-1,2,4,6,7-pentol"
CC(O)C(O)C(O)C(O)CO,CC(O)C(O)C(O)C(O)CO,sweet,flavor_db,"hexane-1,2,3,4,5-pentol"
CCOC(=O)CC(C)S,CCOC(=O)CC(C)S,sweet,flavor_db,ethyl 3-sulfanylbutanoate
CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,flavor_db,"3,5-dihydroxy-6-[[2-hydroxy-4,4,6a,6b,11,11,14b-heptamethyl-8a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid"
OCC(O)C1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C1O,OCC(O)C1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C1O,sweet,flavor_db,"3-[5-(1,2-dihydroxyethyl)-3,4-dihydroxyoxolan-2-yl]oxy-6-(hydroxymethyl)oxane-2,4,5-triol"
NC(=O)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,NC(=O)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,flavor_db,"4-[[3-carboxy-1-[(1-carboxy-2-phenylethyl)amino]-1-oxopropan-2-yl]amino]-3-[(2,4-diamino-4-oxobutanoyl)amino]-4-oxobutanoic acid"
CCCCCCC=CC(=O)OC,CCCCCCC=CC(=O)OC,sweet,flavor_db,methyl non-2-enoate
NCCCCC(NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(N)=O)C(=O)O,NCCCCC(NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(N)=O)C(=O)O,sweet,flavor_db,"6-amino-2-[[2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-phenylpropanoyl]amino]acetyl]amino]hexanoic acid"
